,Series1,Series2,Series3,Series4,Series5,Series6,Series7,Series8,Series9,Series10,Series11
0,0.8199434146404387,1.1377282389272438,0.9979015609010452,0.7784362943644177,0.8628682684523243,0.9657867727819475,1.337575021461264,1.2870957227834314,1.197811669302349,1.1774381929275848,1.2705876980490751
1,-0.4972311694395828,-0.37423529892463003,-0.5642945871074478,-0.8453907309353078,-0.8234445848093626,-0.8213556930426996,-0.45627131145431604,-0.5782565890789497,-0.36400995855367596,-0.4596925764805999,-0.30692660024490326
2,0.49230158094924426,0.3668321486568803,0.40695418421270124,0.3478829363499823,0.35528398777669856,0.3609620408847063,0.5889720095703052,0.5943799370675472,0.33508690484291165,0.4219086464295282,0.7243122908373965
3,-0.8299256055483165,-0.8332864883569823,-0.8918396006476152,-0.2234803249144569,-0.9065952050460537,-0.10367736685559416,-0.7151419674937066,-0.6602053192845544,-0.8013913507679952,-0.8225989021524913,-0.569230994087473
4,-0.6884527378572194,-0.659350636833669,-0.6303349490494978,-0.6982624345907523,-0.5415548447761843,-0.6185718908030999,-0.6031061425848555,-0.7580004890326791,-0.665852162966616,-0.5947693726363907,-0.5088410545560554
5,0.7091748231790029,0.8619101402978473,0.7458854670532221,0.4981704292418135,-0.8257289425081729,0.49585735280930976,0.6012789751852926,0.7283955400557184,0.532153750264654,-0.9540736504107944,0.814666704182113
6,-0.9356415945922132,-0.9173490268437505,-1.000388701310985,-0.8954865618992516,-0.7750162015945865,-0.8081306624618562,-0.3191971771908354,-0.9454412310499184,-0.9043832993933854,-0.856818357178625,-0.7978829788781839
7,0.20974450729147634,0.03871707907949437,0.26576444488831846,0.9941642871641032,1.671987765370896,1.768546129039146,0.3755098128689716,0.48436037110090685,0.8487090901955068,0.8095790513966479,0.7298441936952361
8,-0.939139550112048,-0.8960428534945696,-1.0493496593025045,-0.619282520908859,-0.7275015614593344,-0.682933706296538,-0.9438817766826106,-0.9042404882393658,-0.8981413631130586,-0.9396654588208433,-0.8011099222119239
9,-0.71721370546475,-0.7221070019712564,-0.6299554067394859,-0.027158825190893607,-0.5424685878557085,-0.6340010931474173,-0.5865553957233208,-0.7095556595741173,-0.6498014696743473,-0.8388081176911862,-0.5885926540899122
10,-0.7071085006296718,-0.8189532444675333,-0.7996108193147523,-0.9424231963159195,-0.9276112958751075,-0.81033483422533,-0.7860131143110479,-0.835421665083278,-0.7220295894895561,-0.6915744098813742,-0.7043016221997277
11,-0.776678949301942,-0.7372150158006755,-0.7574816229034446,-0.7397833034978047,-0.6461784273816914,-0.6798478658276744,-0.7745549049453699,-0.7027643283416085,-0.7157876532092293,-0.8036881506906806,-0.8029538898312039
12,-0.562915000867592,-0.4633338420212047,-0.4466364710037955,-0.9094772894657583,-0.7489745238281502,-0.018155502432806392,-0.8382116236435807,-0.8548901479498028,-0.9280134867403362,-0.3070557968245563,-0.824620509357743
13,-0.5943966005461054,-0.5454594556580474,-0.4963565136153389,-0.339016655786255,-0.4131739421030514,-0.9447893117972387,-0.23135090538730452,-0.5814258769874537,-0.19904449971647095,-0.4907602395964319,-0.5471033826561138
14,-0.9146538614732043,-0.8917816188247334,-0.833010542595789,-0.5678327485675115,-0.7942048062645921,-0.7217271293336788,-0.9048389892143747,-0.8562484141963046,-0.8562312195165795,-0.9117495876153133,-0.7969609950685441
15,-0.8940547900786214,-0.8483945021864013,-0.9419391855691703,-0.8593814585018147,-0.7503451384474364,-0.8478057542043866,-0.9812270516522276,-0.9001656894998606,-0.915083761588231,-0.9144511235384291,-0.8352233231686026
16,-0.024618512537456463,-0.06626424778646976,0.03727997426122608,0.04098955747176859,-0.45977483915877937,-0.4620756955964522,0.1501650286773055,0.12396706036244676,0.18171361338345626,0.14049865443829726,-0.8204715822143631
17,-0.5042270804792524,-0.5020723390197155,-0.37262572055149806,-0.385501976410455,-0.2610357193622922,-0.3849296838748652,-0.42783797710244853,-0.6565832759605497,-0.45763900275857605,-0.6587057228167983,-0.4466071474053578
18,-0.4016203852307644,-0.45945999232135365,-0.5582219101472592,-0.9293350963343486,-0.8609080510698499,-0.7993139754079606,-0.3582399646590714,-0.3967016674632179,-0.35241779117592636,-0.18863847219464627,-0.2474586445231256
19,-0.4381545873268169,-0.47844185585062393,-0.7191478495922546,-0.9528034135426827,-0.9043108473472435,-0.22887432302091235,-0.3289578740578945,-0.8693783212458214,-0.9440641800326048,-0.8234994141268632,-0.8020319060215638
20,-0.07786516878383086,-0.11546213897457835,-0.09024624190273259,0.23234660547818436,-0.7521726246064845,-0.8023998158768241,-0.8505185892585682,0.27382910289313817,-0.9146379089967791,-0.8955403720766184,-0.7891241326866044
21,-0.6818454885419758,-0.8483945021864013,-0.7612770460035624,-0.738429362120401,-0.7183641306640937,-0.8072489937564666,-0.870039982992686,-0.8598704575203091,-0.9587773155505177,-0.9720838898982331,-0.6111812574260914
